Engine Speed (rpm),BSFC,BIODIESEL BLEND
1900,0.3786432989690726, B10
1950,0.35968221649484583, B10
2000,0.341752577319588, B10
2050,0.3251373711340209, B10
2100,0.3101195876288664, B10
2150,0.29698221649484563, B10
2200,0.28600824742268066, B10
2250,0.2774806701030929, B10
2300,0.2716824742268042, B10
2350,0.26889664948453607, B10
2400,0.26940618556701024, B10
2450,0.27349407216494837, B10
2500,0.281443298969072, B10
2550,0.29340077319587615, B10
2600,0.30896907216494823, B10
2650,0.32761469072164917, B10
2700,0.34880412371133995, B10
2750,0.3720038659793811, B10
2800,0.3966804123711338, B10
2850,0.42230025773195845, B10
2900,0.44832989690721625, B10
2950,0.4742358247422678, B10
3000,0.499484536082474, B10
3050,0.5235425257731957, B10
3100,0.5458762886597937, B10
3150,0.5659523195876288, B10
3200,0.583237113402062, B10
3250,0.5971971649484535, B10
3300,0.6072989690721651, B10
3350,0.6130090206185568, B10
3400,0.6137938144329899, B10
3450,0.6091198453608251, B10
3500,0.598453608247423, B10
1500,0.261340206185567, B00
1550,0.26164948453608244, B00
1600,0.2598556701030927, B00
1650,0.2562061855670102, B00
1700,0.2509484536082473, B00
1750,0.24432989690721632, B00
1800,0.23659793814432975, B00
1850,0.22799999999999981, B00
1900,0.218783505154639, B00
1950,0.2091958762886596, B00
2000,0.199484536082474, B00
2050,0.1898969072164946, B00
2100,0.18068041237113383, B00
2150,0.17208247422680395, B00
2200,0.16435051546391738, B00
2250,0.15773195876288645, B00
2300,0.15247422680412362, B00
2350,0.14882474226804113, B00
2400,0.1470309278350515, B00
2450,0.14734020618556698, B00
2500,0.15, B00
2550,0.15514793814432995, B00
2600,0.1624824742268042, B00
2650,0.1715922680412372, B00
2700,0.18206597938144342, B00
2750,0.1934922680412373, B00
2800,0.2054597938144332, B00
2850,0.21755721649484555, B00
2900,0.2293731958762889, B00
2950,0.24049639175257753, B00
3000,0.250515463917526, B00
3050,0.2590190721649487, B00
3100,0.26559587628866, B00
3150,0.2698345360824745, B00
3200,0.2713237113402064, B00
3250,0.26965206185567026, B00
3300,0.26440824742268054, B00
3350,0.25518092783505153, B00
3400,0.2415587628865979, B00
3450,0.22313041237113393, B00
3500,0.199484536082474, B00
