Engine Speed (rpm),Nitrogen Oxides,BIODIESEL_BLEND,Oxide_of_nitrogen,BIODIESEL BLEND
2450,,,29.435511853448293, B50
2500,,,30.1293103448276, B50
2550,,,30.822429956896567, B50
2600,,,31.520172413793116, B50
2650,,,32.22877693965518, B50
2700,,,32.95448275862069, B50
2750,,,33.70352909482758, B50
2800,,,34.482155172413776, B50
2850,,,35.296600215517216, B50
2900,,,36.15310344827583, B50
2950,,,37.05790409482755, B50
3000,,,38.0172413793103, B50
3050,,,39.037354525862014, B50
3100,,,40.12448275862063, B50
3150,,,41.284865301724075, B50
3200,,,42.524741379310285, B50
3250,,,43.85035021551717, B50
3300,,,45.267931034482686, B50
3350,,,46.783723060344755, B50
3400,,,48.40396551724131, B50
3450,,,50.13489762931029, B50
3500,,,51.9827586206896, B50
1500,,,12.9310344827586, B30
1550,,,13.693820043103425, B30
1600,,,14.446034482758591, B30
1650,,,15.188421336206861, B30
1700,,,15.921724137930998, B30
1750,,,16.64668642241375, B30
1800,,,17.36405172413789, B30
1850,,,18.074563577586165, B30
1900,,,18.778965517241335, B30
1950,,,19.478001077586157, B30
2000,,,20.1724137931034, B30
2050,,,20.862947198275812, B30
2100,,,21.55034482758616, B30
2150,,,22.235350215517197, B30
2200,,,22.91870689655168, B30
2250,,,23.601158405172374, B30
2300,,,24.283448275862032, B30
2350,,,24.96632004310341, B30
2400,,,25.650517241379283, B30
2450,,,26.33678340517239, B30
2500,,,27.025862068965495, B30
2550,,,27.71930495689654, B30
2600,,,28.42189655172413, B30
2650,,,29.139229525862063, B30
2700,,,29.876896551724148, B30
2750,,,30.640490301724153, B30
2800,,,31.435603448275884, B30
2850,,,32.267828663793125, B30
2900,,,33.14275862068969, B30
2950,,,34.06598599137935, B30
3000,,,35.04310344827591, B30
3050,,,36.079703663793154, B30
3100,,,37.18137931034488, B30
3150,,,38.35372306034489, B30
3200,,,39.60232758620696, B30
3250,,,40.93278556034488, B30
3300,,,42.350689655172474, B30
3350,,,43.8616325431035, B30
3400,,,45.47120689655176, B30
3450,,,47.18500538793108, B30
3500,,,49.0086206896552, B30
1500,,,10.2155172413793, B20
1550,,,10.636907327586215, B20
1600,,,11.141379310344847, B20
1650,,,11.720851293103474, B20
1700,,,12.36724137931038, B20
1750,,,13.072467672413831, B20
1800,,,13.828448275862113, B20
1850,,,14.627101293103491, B20
1900,,,15.460344827586248, B20
1950,,,16.32009698275866, B20
2000,,,17.198275862069, B20
2050,,,18.086799568965546, B20
2100,,,18.97758620689657, B20
2150,,,19.862553879310358, B20
2200,,,20.733620689655186, B20
2250,,,21.582704741379317, B20
2300,,,22.401724137931033, B20
2350,,,23.182596982758614, B20
2400,,,23.917241379310333, B20
2450,,,24.59757543103447, B20
2500,,,25.215517241379295, B20
2550,,,25.76692887931033, B20
2600,,,26.263448275862057, B20
2650,,,26.720657327586196, B20
2700,,,27.154137931034477, B20
2750,,,27.57947198275862, B20
2800,,,28.01224137931035, B20
2850,,,28.468028017241384, B20
2900,,,28.96241379310346, B20
2950,,,29.51098060344829, B20
3000,,,30.1293103448276, B20
3050,,,30.832984913793123, B20
3100,,,31.63758620689657, B20
3150,,,32.558696120689675, B20
3200,,,33.61189655172416, B20
3250,,,34.81276939655173, B20
3300,,,36.17689655172414, B20
3350,,,37.719859913793094, B20
3400,,,39.457241379310325, B20
3450,,,41.40462284482756, B20
3500,,,43.5775862068965, B20
1500,,,8.40517241379309, B10
1550,,,8.919148706896554, B10
1600,,,9.487241379310358, B10
1650,,,10.103437500000023, B10
1700,,,10.761724137931067, B10
1750,,,11.456088362068998, B10
1800,,,12.18051724137935, B10
1850,,,12.928997844827625, B10
1900,,,13.695517241379344, B10
1950,,,14.47406250000003, B10
2000,,,15.258620689655197, B10
2050,,,16.043178879310368, B10
2100,,,16.82172413793105, B10
2150,,,17.588243534482764, B10
2200,,,18.336724137931036, B10
2250,,,19.06115301724137, B10
2300,,,19.755517241379295, B10
2350,,,20.41380387931032, B10
2400,,,21.02999999999997, B10
2450,,,21.598092672413756, B10
2500,,,22.112068965517196, B10
2550,,,22.56882543103444, B10
2600,,,22.97689655172409, B10
2650,,,23.347726293103392, B10
2700,,,23.692758620689602, B10
2750,,,24.023437499999943, B10
2800,,,24.35120689655167, B10
2850,,,24.687510775862016, B10
2900,,,25.043793103448223, B10
2950,,,25.431497844827536, B10
3000,,,25.8620689655172, B10
