X,Y,GROUP,BIODIESEL_BLEND
3500,11.5513126491647,0, B100
3500,23.9618138424821,0, B50
3500,13.9379474940334,0, B30
3500,17.9952267303103,0, B20
3500,13.5799522673031,0, B10
3500,21.0978520286396,0, B00
3000,16.6825775656325,1, B100
3000,24.0811455847255,1, B50
3000,20.2625298329356,1, B30
3000,21.9331742243437,1, B20
3000,17.1599045346062,1, B10
3000,33.0310262529833,1, B00
2500,28.1384248210024,2, B100
2500,42.8162291169451,2, B50
2500,34.582338902148,2, B30
2500,41.0262529832936,2, B20
2500,35.8949880668258,2, B10
2500,56.18138424821,2, B00
2000,25.1551312649165,3, B100
2000,36.7303102625298,3, B50
2000,28.3770883054893,3, B30
2000,29.9284009546539,3, B20
2000,25.3937947494033,3, B10
2000,42.1002386634845,3, B00
1500,18.2338902147971,4, B100
1500,26.5871121718377,4, B50
1500,16.9212410501193,4, B30
1500,28.3770883054893,4, B20
1500,15.727923627685,4, B10
1500,33.0310262529833,4, B00
