X,Y,GROUP,BIODIESEL_BLEND
3500,55.0862068965517,0, B100
3500,51.9827586206896,0, B50
3500,49.0086206896552,0, B30
3500,43.5775862068965,0, B20
3500,35.0431034482759,0, B10
3500,29.8706896551724,0, B00
3000,42.1551724137931,1, B100
3000,38.0172413793103,1, B50
3000,35.0431034482759,1, B30
3000,30.1293103448276,1, B20
3000,25.8620689655172,1, B10
3000,23.0172413793103,1, B00
2500,33.1034482758621,2, B100
2500,30.1293103448276,2, B50
2500,27.0258620689655,2, B30
2500,25.2155172413793,2, B20
2500,22.1120689655172,2, B10
2500,20.0431034482758,2, B00
2000,25.0862068965517,3, B100
2000,23.0172413793103,3, B50
2000,20.1724137931034,3, B30
2000,17.198275862069,3, B20
2000,15.2586206896552,3, B10
2000,12.1551724137931,3, B00
1500,15.1293103448276,4, B100
1500,15.1293103448276,4, B50
1500,12.9310344827586,4, B30
1500,10.2155172413793,4, B20
1500,8.40517241379309,4, B10
1500,4.91379310344827,4, B00
